code,name,industry,area
600108,亚盛集团,农业综合,甘肃
000506,中润资源,区域地产,山东
600666,奥瑞德,元器件,黑龙江
600880,博瑞传播,广告包装,四川
000677,恒天海龙,化纤,山东
601212,白银有色,铜,甘肃
000721,西安饮食,酒店餐饮,陕西
600936,广西广电,影视音像,广西
600509,天富能源,火力发电,新疆
000950,重药控股,农药化肥,重庆
000682,东方电子,电气设备,山东
300138,晨光生物,食品,河北
603169,兰石重装,专用机械,甘肃
300182,捷成股份,软件服务,北京
600831,广电网络,影视音像,陕西
600232,金鹰股份,纺织,浙江
603798,康普顿,石油加工,山东
000905,厦门港务,港口,福建
000820,神雾节能,环境保护,辽宁
002307,北新路桥,建筑施工,新疆
601949,中国出版,出版业,北京
002824,和胜股份,铝,广东
300043,星辉娱乐,文教休闲,广东
000993,闽东电力,水力发电,福建
600463,空港股份,园区开发,北京
600037,歌华有线,影视音像,北京
002137,麦达数字,互联网,深圳
603569,长久物流,仓储物流,北京
300334,津膜科技,专用机械,天津
300682,朗新科技,软件服务,江苏
300536,农尚环境,建筑施工,湖北
300165,天瑞仪器,电器仪表,江苏
002191,劲嘉股份,广告包装,深圳
002488,金固股份,汽车配件,浙江
002398,建研集团,其他建材,福建
300663,科蓝软件,软件服务,北京
600996,贵广网络,影视音像,贵州
000156,华数传媒,影视音像,浙江
002950,奥美医疗,医疗保健,湖北
600345,长江通信,通信设备,湖北
603888,新华网,互联网,北京
002787,华源控股,广告包装,江苏
600131,岷江水电,水力发电,四川
601858,中国科传,出版业,北京
000037,深南电A,火力发电,深圳
002189,利达光电,元器件,河南
600850,华东电脑,软件服务,上海
600088,中视传媒,影视音像,上海
300763,锦浪科技,电气设备,浙江
300578,会畅通讯,通信设备,上海
300337,银邦股份,铝,江苏
300080,易成新能,半导体,河南
002774,快意电梯,运输设备,广东
002592,八菱科技,汽车配件,广西
002578,闽发铝业,铝,福建
000665,湖北广电,影视音像,湖北
000504,南华生物,环境保护,湖南
000159,国际实业,石油贸易,新疆
300236,上海新阳,半导体,上海
000503,国新健康,医疗保健,海南
000990,诚志股份,化工原料,江西
300414,中光防雷,元器件,四川
300762,上海瀚讯,通信设备,上海
300125,易世达,电气设备,辽宁
300380,安硕信息,软件服务,上海
600637,东方明珠,影视音像,上海
000526,紫光学大,文教休闲,福建
002569,步森股份,服饰,浙江
600075,新疆天业,化工原料,新疆
000670,盈方微,元器件,湖北
603315,福鞍股份,机械基件,辽宁
002384,东山精密,通信设备,江苏
002473,圣莱达,家用电器,浙江
000610,西安旅游,旅游服务,陕西
002951,金时科技,广告包装,四川
002639,雪人股份,专用机械,福建
600136,当代明诚,影视音像,湖北
601326,秦港股份,港口,河北
000826,启迪桑德,环境保护,湖北
000021,深科技,电脑设备,深圳
300011,鼎汉技术,运输设备,北京
600084,中葡股份,红黄药酒,新疆
300171,东富龙,医疗保健,上海
002683,宏大爆破,化工原料,广东
600072,中船科技,船舶,上海
600722,金牛化工,化工原料,河北
300056,三维丝,环境保护,福建
601929,吉视传媒,影视音像,吉林
600621,华鑫股份,证券,上海
002109,兴化股份,化工原料,陕西
600493,凤竹纺织,纺织,福建
000590,启迪古汉,中成药,湖南
000839,中信国安,综合类,北京
600734,实达集团,电脑设备,福建
600620,天宸股份,综合类,上海
600959,江苏有线,影视音像,江苏
601226,华电重工,专用机械,北京
600226,瀚叶股份,农药化肥,浙江
000951,中国重汽,汽车整车,山东
600359,新农开发,农业综合,新疆
600163,中闽能源,新型电力,福建
300152,科融环境,环境保护,江苏
600857,宁波中百,百货,浙江
603871,嘉友国际,仓储物流,北京
300033,同花顺,软件服务,浙江
600830,香溢融通,多元金融,浙江
002855,捷荣技术,塑料,广东
000812,陕西金叶,广告包装,陕西
002198,嘉应制药,中成药,广东
000155,川能动力,农药化肥,四川
603896,寿仙谷,中成药,浙江
300002,神州泰岳,软件服务,北京
603318,派思股份,专用机械,辽宁
002195,二三四五,软件服务,上海
600222,太龙药业,中成药,河南
603022,新通联,广告包装,上海
002673,西部证券,证券,陕西
600505,西昌电力,水力发电,四川
002716,金贵银业,小金属,湖南
300061,康旗股份,医疗保健,上海
002381,双箭股份,橡胶,浙江
300199,翰宇药业,化学制药,深圳
603118,共进股份,通信设备,深圳
603716,塞力斯,医药商业,湖北
300085,银之杰,软件服务,深圳
000009,中国宝安,综合类,深圳
300139,晓程科技,元器件,北京
002735,王子新材,塑料,深圳
002232,启明信息,软件服务,吉林
600370,三房巷,纺织,江苏
600658,电子城,园区开发,北京
002771,真视通,软件服务,北京
002464,众应互联,互联网,江苏
300681,英搏尔,元器件,广东
002478,常宝股份,钢加工,江苏
002130,沃尔核材,电气设备,深圳
600158,中体产业,文教休闲,天津
300382,斯莱克,专用机械,江苏
600070,浙江富润,纺织,浙江
002458,益生股份,农业综合,山东
000813,德展健康,化学制药,新疆
600250,南纺股份,商贸代理,江苏
300055,万邦达,环境保护,北京
